id,hour,app,app_cat,times
F0587EC780D81520AD55841DD592599D,7,开心消消乐,游戏服务,2
D32F454565F9E41EE8E0B8F0671A2CBD,19,今日头条,综合资讯,6
EAE06D96817426ECDE94880C22F3D75B,6,百度搜索,实用工具,6
C0CF266E5B58237150565489E5DB9186,17,新浪微博,社交网络,2
BE5A2FBBA72972710A7BCCCDBE3C312B,1,爱奇艺,视频服务,100
E4D5A6DFC1DECA3051722358D89B2A6C,23,百度搜索,实用工具,14
F94E759853B174ACA26D659B8F578CB3,21,微信,通讯聊天,2
B3EB926F6ED716BFFC22830DBDFAE998,10,腾讯视频,视频服务,5
B4143B474375E893CEA1995E3EAA24BF,18,QQ,通讯聊天,1
FA57E04D227ECA399DC9EF836D93D137,5,腾讯视频,视频服务,3
E2E4353A08159F7F64A58E9081B9BD72,17,微信,通讯聊天,78
EC4F6E53C1FD325D5B7E606CD1CB0403,20,百度搜索,实用工具,6
F68BFBAA8CF7D1DDF0649A13CDD32AF7,19,微信,通讯聊天,1
D691B88869A229BFC990AF9D3FD2EE67,9,百度搜索,实用工具,11
F0CDB58C49BA6F059A7EB6A01667B221,5,大众点评网,美食外卖,54
B6C65DBDBA60DB01960D340AC9F14B6D,21,Keep,健康医疗,1
DDDB719C0550D424D3007119B500AF04,8,支付宝,金融理财,20
FDF965777A2233E36AD4ED99D364A4D8,8,百度搜索,实用工具,2
D35A77C0A51AAD7CBC1F23E8E977173C,15,开心消消乐,游戏服务,2
BE5A2FBBA72972710A7BCCCDBE3C312B,2,百度搜索,实用工具,1
D35A77C0A51AAD7CBC1F23E8E977173C,11,大众点评网,美食外卖,2
C9C49D0D4E1E8D9A6ACD02D90C4B0C6F,15,新浪微博,社交网络,1
EBB4D02EEF353C0EA84CD01E3CEF898E,10,开心消消乐,游戏服务,3
E971F8180413625BC977F248D2466523,19,墨迹天气,便捷生活,31
D76333A8242A3C0C7C6AC4650AD52D31,15,今日头条,综合资讯,5
BB1354007F38F4C34DC4B4917F044999,22,新浪微博,社交网络,5
E99BF2B6835BDE95069112F3ECC8E523,11,Keep,健康医疗,1
E663F442419E1F6210407EFE784BBCF4,7,搜狗输入法,实用工具,1
C3B8AB01651A525CF112C6277D7C7DFC,17,百度搜索,实用工具,5
B3469D8CA82A73EFE25C40C2FEDF674C,19,微信,通讯聊天,34
DFF8B4538B7D6F14831D55A1CAA6A6B6,8,腾讯视频,视频服务,5
F1033C37BF1E5C05E20268E73E41BD68,17,QQ,通讯聊天,13
DA3B33843B0D5760B4A5F3204DC23EE2,4,去哪儿旅行网,旅行预订,1
BB1354007F38F4C34DC4B4917F044999,13,QQ,通讯聊天,14
B0DC397DB952F5B576ED01A9BF5A6D53,9,QQ,通讯聊天,1
EF2C439880CB9BB4C544A5FFDF885D3B,12,微信,通讯聊天,1
DF614FE22727A03651F13D0EA1FE7DE1,6,微信,通讯聊天,16
D95A2FD25573BA2DF35694CF0FA6ECEA,12,微信,通讯聊天,5
B07D821B46ECFB909AABCA7EA1505A2E,15,百度地图,便捷生活,6
C7514FD529AA4DC2E3392D3E9FE1F0C0,14,大众点评网,美食外卖,6
BF0596A94CD61355D95557C465FF8545,9,Keep,健康医疗,2
F51207498F6879F1B348EA0EE7AF1C5D,15,腾讯视频,视频服务,9
CA9D97AF66B014B376A900F450F1EC75,5,支付宝,金融理财,2
DA2E8D206813B09DA4975D64286C5A3A,11,支付宝,金融理财,13
CDDC86550A16FFEA59F2569411582340,19,QQ,通讯聊天,1
F89B99A0B385D4114B245FB6FF88CE97,21,腾讯视频,视频服务,7
F1655FBFC43057977F021851860C7582,21,Keep,健康医疗,4
F3FA98955098992572D9C104D5E24C66,19,微信,通讯聊天,96
E4940326C2199AB6A25CFF73414526F6,18,微信,通讯聊天,8
C2827EBF2B61C4FB71C164F3D13BE312,13,支付宝,金融理财,1
E7457A98CD60453B8FAED54278B5E024,2,微信,通讯聊天,19
D7379437CB66FD24E616B80A898F6219,12,百度地图,便捷生活,1
ED0170276A2E95A59D449EB330B2C02E,18,微信,通讯聊天,17
DECA0B377E118F360258DBC6062D1B39,11,支付宝,金融理财,1
D6486499DDFB54DB465F9478F5166ABD,18,腾讯视频,视频服务,2
DB443763603D6DE36E643290FBE7E4AE,15,开心消消乐,游戏服务,4
DED184154B36D123749EE02D6C142AE7,10,微信,通讯聊天,53
EF232DC4DAF50D17938342F428DDB41A,22,腾讯视频,视频服务,1
E91E591CC0CF7CB26E7DD7D17F8D14E1,12,Keep,健康医疗,3
B3EB926F6ED716BFFC22830DBDFAE998,22,大众点评网,美食外卖,14
B8AB71545B3408F2AE3EE53BE085BF02,11,微信,通讯聊天,14
B02C4280303DC2B029A003A610A33E12,11,微信,通讯聊天,35
E242EE8B302BAC467FFF79129103AA87,9,百度搜索,实用工具,2
BF63B488D762A919277C043968862379,11,新浪微博,社交网络,5
D2A24A045493BAB1B2D451895E6E36FD,9,大众点评网,美食外卖,6
EE6E94E89950F3029CBE2CE15F99D1C7,12,QQ,通讯聊天,1
E60CC89F55FF73118F5E5684971D3C9C,10,百度搜索,实用工具,14
C96882BA63839E0D308D2A6DD20BC9E0,9,微信,通讯聊天,7
D27EA684E361F70C6A48F069834BF294,7,QQ,通讯聊天,1
CAEED3C0FE7AD612C950C7BCB0017A8A,11,微信,通讯聊天,58
F82EF0BDE7AE051FFF2E173938970F4C,7,开心消消乐,游戏服务,2
E722B2D64FB58BA583E1BAF550885B62,20,百度云,办公管理,1
C4A68910B66F5DE7FD08D8DA3C9A51C7,8,支付宝,金融理财,1
E84C730F778A6808599A87C4D5574575,19,腾讯视频,视频服务,3
BF63B488D762A919277C043968862379,11,百度搜索,实用工具,47
F43850BC837BFC516012FB2FF7FAC0F1,9,腾讯视频,视频服务,12
